,Symbol,Code,Name,BeginDate,EndDate,Type,Exchange,MinTick,Multiplier,begindate,enddate
2953,S.CN.SZSE.000938,000938,紫光股份,1999-11-04,2200-01-01,STOCK,,,,1999-11-04,2200-01-01
2954,S.CN.SZSE.000939,000939,凯迪退,1999-09-23,2020-12-16,STOCK,,,,1999-09-23,2020-12-16
2955,S.CN.SZSE.000948,000948,南天信息,1999-10-14,2200-01-01,STOCK,,,,1999-10-14,2200-01-01
2956,S.CN.SZSE.000949,000949,新乡化纤,1999-10-21,2200-01-01,STOCK,,,,1999-10-21,2200-01-01
2957,S.CN.SZSE.000950,000950,重药控股,1999-09-16,2200-01-01,STOCK,,,,1999-09-16,2200-01-01
2958,S.CN.SZSE.000951,000951,中国重汽,1999-11-25,2200-01-01,STOCK,,,,1999-11-25,2200-01-01
2959,S.CN.SZSE.000952,000952,广济药业,1999-11-12,2200-01-01,STOCK,,,,1999-11-12,2200-01-01
2960,S.CN.SZSE.000953,000953,河化股份,1999-12-02,2200-01-01,STOCK,,,,1999-12-02,2200-01-01
2961,S.CN.SZSE.000955,000955,欣龙控股,1999-12-09,2200-01-01,STOCK,,,,1999-12-09,2200-01-01
2962,S.CN.SZSE.000956,000956,中原油气,1999-11-10,2006-04-21,STOCK,,,,1999-11-10,2006-04-21
2963,S.CN.SZSE.000957,000957,中通客车,2000-01-13,2200-01-01,STOCK,,,,2000-01-13,2200-01-01
2964,S.CN.SZSE.000958,000958,东方能源,1999-12-23,2200-01-01,STOCK,,,,1999-12-23,2200-01-01
2965,S.CN.SZSE.000959,000959,首钢股份,1999-12-16,2200-01-01,STOCK,,,,1999-12-16,2200-01-01
2966,S.CN.SZSE.000960,000960,锡业股份,2000-02-21,2200-01-01,STOCK,,,,2000-02-21,2200-01-01
2967,S.CN.SZSE.000961,000961,中南建设,2000-03-01,2200-01-01,STOCK,,,,2000-03-01,2200-01-01
2968,S.CN.SZSE.000962,000962,东方钽业,2000-01-20,2200-01-01,STOCK,,,,2000-01-20,2200-01-01
2969,S.CN.SZSE.000963,000963,华东医药,2000-01-27,2200-01-01,STOCK,,,,2000-01-27,2200-01-01
2970,S.CN.SZSE.000965,000965,天保基建,2000-04-06,2200-01-01,STOCK,,,,2000-04-06,2200-01-01
2971,S.CN.SZSE.000966,000966,长源电力,2000-03-16,2200-01-01,STOCK,,,,2000-03-16,2200-01-01
2972,S.CN.SZSE.000967,000967,盈峰环境,2000-03-30,2200-01-01,STOCK,,,,2000-03-30,2200-01-01
2973,S.CN.SZSE.000968,000968,蓝焰控股,2000-06-22,2200-01-01,STOCK,,,,2000-06-22,2200-01-01
2974,S.CN.SZSE.000969,000969,安泰科技,2000-05-29,2200-01-01,STOCK,,,,2000-05-29,2200-01-01
2975,S.CN.SZSE.000970,000970,中科三环,2000-04-20,2200-01-01,STOCK,,,,2000-04-20,2200-01-01
2978,S.CN.SZSE.000973,000973,佛塑科技,2000-05-25,2200-01-01,STOCK,,,,2000-05-25,2200-01-01
2979,S.CN.SZSE.000975,000975,银泰黄金,2000-06-08,2200-01-01,STOCK,,,,2000-06-08,2200-01-01
2980,S.CN.SZSE.000976,000976,华铁股份,2000-06-01,2200-01-01,STOCK,,,,2000-06-01,2200-01-01
2981,S.CN.SZSE.000977,000977,浪潮信息,2000-06-08,2200-01-01,STOCK,,,,2000-06-08,2200-01-01
2982,S.CN.SZSE.000978,000978,桂林旅游,2000-05-18,2200-01-01,STOCK,,,,2000-05-18,2200-01-01
2983,S.CN.SZSE.000979,000979,中弘退,2000-06-16,2018-12-28,STOCK,,,,2000-06-16,2018-12-28
2986,S.CN.SZSE.000982,000982,中银绒业,2000-07-06,2200-01-01,STOCK,,,,2000-07-06,2200-01-01
2987,S.CN.SZSE.000983,000983,山西焦煤,2000-07-26,2200-01-01,STOCK,,,,2000-07-26,2200-01-01
2988,S.CN.SZSE.000985,000985,大庆华科,2000-07-26,2200-01-01,STOCK,,,,2000-07-26,2200-01-01
2989,S.CN.SZSE.000987,000987,越秀金控,2000-07-18,2200-01-01,STOCK,,,,2000-07-18,2200-01-01
2990,S.CN.SZSE.000988,000988,华工科技,2000-06-08,2200-01-01,STOCK,,,,2000-06-08,2200-01-01
2991,S.CN.SZSE.000989,000989,九芝堂,2000-06-28,2200-01-01,STOCK,,,,2000-06-28,2200-01-01
2992,S.CN.SZSE.000990,000990,诚志股份,2000-07-06,2200-01-01,STOCK,,,,2000-07-06,2200-01-01
2993,S.CN.SZSE.000993,000993,闽东电力,2000-07-31,2200-01-01,STOCK,,,,2000-07-31,2200-01-01
2994,S.CN.SZSE.000995,000995,皇台酒业,2000-08-07,2200-01-01,STOCK,,,,2000-08-07,2200-01-01
2995,S.CN.SZSE.000996,000996,中国中期,2000-07-18,2200-01-01,STOCK,,,,2000-07-18,2200-01-01
2996,S.CN.SZSE.000997,000997,新大陆,2000-08-07,2200-01-01,STOCK,,,,2000-08-07,2200-01-01
2997,S.CN.SZSE.000998,000998,隆平高科,2000-12-11,2200-01-01,STOCK,,,,2000-12-11,2200-01-01
2998,S.CN.SZSE.000999,000999,华润三九,2000-03-09,2200-01-01,STOCK,,,,2000-03-09,2200-01-01
2999,S.CN.SZSE.001201,001201,东瑞股份,2021-04-28,2200-01-01,STOCK,,,,2021-04-28,2200-01-01
3000,S.CN.SZSE.001202,001202,炬申股份,2021-04-29,2200-01-01,STOCK,,,,2021-04-29,2200-01-01
3001,S.CN.SZSE.001203,001203,大中矿业,2021-05-10,2200-01-01,STOCK,,,,2021-05-10,2200-01-01
3002,S.CN.SZSE.001205,001205,盛航股份,2021-05-13,2200-01-01,STOCK,,,,2021-05-13,2200-01-01
3003,S.CN.SZSE.001206,001206,依依股份,2021-05-18,2200-01-01,STOCK,,,,2021-05-18,2200-01-01
3004,S.CN.SZSE.001207,001207,联科科技,2021-06-23,2200-01-01,STOCK,,,,2021-06-23,2200-01-01
3005,S.CN.SZSE.001208,001208,华菱线缆,2021-06-24,2200-01-01,STOCK,,,,2021-06-24,2200-01-01
3006,S.CN.SZSE.001209,001209,洪兴股份,2021-07-23,2200-01-01,STOCK,,,,2021-07-23,2200-01-01
3007,S.CN.SZSE.001210,001210,金房节能,2021-07-29,2200-01-01,STOCK,,,,2021-07-29,2200-01-01
3008,S.CN.SZSE.001211,001211,双枪科技,2021-08-05,2200-01-01,STOCK,,,,2021-08-05,2200-01-01
3009,S.CN.SZSE.001212,001212,中旗新材,2021-08-23,2200-01-01,STOCK,,,,2021-08-23,2200-01-01
3010,S.CN.SZSE.001213,001213,中铁特货,2021-09-08,2200-01-01,STOCK,,,,2021-09-08,2200-01-01
3011,S.CN.SZSE.001215,001215,千味央厨,2021-09-06,2200-01-01,STOCK,,,,2021-09-06,2200-01-01
3012,S.CN.SZSE.001216,001216,华瓷股份,2021-10-19,2200-01-01,STOCK,,,,2021-10-19,2200-01-01
3013,S.CN.SZSE.001217,001217,华尔泰,2021-09-29,2200-01-01,STOCK,,,,2021-09-29,2200-01-01
3014,S.CN.SZSE.001218,001218,丽臣实业,2021-10-15,2200-01-01,STOCK,,,,2021-10-15,2200-01-01
3015,S.CN.SZSE.001219,001219,青岛食品,2021-10-21,2200-01-01,STOCK,,,,2021-10-21,2200-01-01
