,Symbol,Code,Name,BeginDate,EndDate,Type,Exchange,MinTick,Multiplier,begindate,enddate
336,S.CN.SSE.600000,600000,浦发银行,1999-11-10,2200-01-01,STOCK,,,,1999-11-10,2200-01-01
337,S.CN.SSE.600001,600001,邯郸钢铁,1998-01-22,2009-12-29,STOCK,,,,1998-01-22,2009-12-29
338,S.CN.SSE.600002,600002,齐鲁石化,1998-04-08,2006-04-24,STOCK,,,,1998-04-08,2006-04-24
340,S.CN.SSE.600004,600004,白云机场,2003-04-28,2200-01-01,STOCK,,,,2003-04-28,2200-01-01
341,S.CN.SSE.600005,600005,武钢股份,1999-08-03,2017-02-14,STOCK,,,,1999-08-03,2017-02-14
342,S.CN.SSE.600006,600006,东风汽车,1999-07-27,2200-01-01,STOCK,,,,1999-07-27,2200-01-01
343,S.CN.SSE.600007,600007,中国国贸,1999-03-12,2200-01-01,STOCK,,,,1999-03-12,2200-01-01
344,S.CN.SSE.600008,600008,首创环保,2000-04-27,2200-01-01,STOCK,,,,2000-04-27,2200-01-01
345,S.CN.SSE.600009,600009,上海机场,1998-02-18,2200-01-01,STOCK,,,,1998-02-18,2200-01-01
346,S.CN.SSE.600010,600010,包钢股份,2001-03-09,2200-01-01,STOCK,,,,2001-03-09,2200-01-01
347,S.CN.SSE.600011,600011,华能国际,2001-12-06,2200-01-01,STOCK,,,,2001-12-06,2200-01-01
348,S.CN.SSE.600012,600012,皖通高速,2003-01-07,2200-01-01,STOCK,,,,2003-01-07,2200-01-01
349,S.CN.SSE.600015,600015,华夏银行,2003-09-12,2200-01-01,STOCK,,,,2003-09-12,2200-01-01
350,S.CN.SSE.600016,600016,民生银行,2000-12-19,2200-01-01,STOCK,,,,2000-12-19,2200-01-01
351,S.CN.SSE.600017,600017,日照港,2006-10-17,2200-01-01,STOCK,,,,2006-10-17,2200-01-01
352,S.CN.SSE.600018,600018,上港集团,2006-10-26,2200-01-01,STOCK,,,,2006-10-26,2200-01-01
353,S.CN.SSE.600019,600019,宝钢股份,2000-12-12,2200-01-01,STOCK,,,,2000-12-12,2200-01-01
354,S.CN.SSE.600020,600020,中原高速,2003-08-08,2200-01-01,STOCK,,,,2003-08-08,2200-01-01
355,S.CN.SSE.600021,600021,上海电力,2003-10-29,2200-01-01,STOCK,,,,2003-10-29,2200-01-01
356,S.CN.SSE.600022,600022,山东钢铁,2004-06-29,2200-01-01,STOCK,,,,2004-06-29,2200-01-01
357,S.CN.SSE.600023,600023,浙能电力,2013-12-19,2200-01-01,STOCK,,,,2013-12-19,2200-01-01
358,S.CN.SSE.600025,600025,华能水电,2017-12-15,2200-01-01,STOCK,,,,2017-12-15,2200-01-01
359,S.CN.SSE.600026,600026,中远海能,2002-05-23,2200-01-01,STOCK,,,,2002-05-23,2200-01-01
360,S.CN.SSE.600027,600027,华电国际,2005-02-03,2200-01-01,STOCK,,,,2005-02-03,2200-01-01
361,S.CN.SSE.600028,600028,中国石化,2001-08-08,2200-01-01,STOCK,,,,2001-08-08,2200-01-01
362,S.CN.SSE.600029,600029,南方航空,2003-07-25,2200-01-01,STOCK,,,,2003-07-25,2200-01-01
363,S.CN.SSE.600030,600030,中信证券,2003-01-06,2200-01-01,STOCK,,,,2003-01-06,2200-01-01
364,S.CN.SSE.600031,600031,三一重工,2003-07-03,2200-01-01,STOCK,,,,2003-07-03,2200-01-01
365,S.CN.SSE.600032,600032,浙江新能,2021-05-25,2200-01-01,STOCK,,,,2021-05-25,2200-01-01
366,S.CN.SSE.600033,600033,福建高速,2001-02-09,2200-01-01,STOCK,,,,2001-02-09,2200-01-01
367,S.CN.SSE.600035,600035,楚天高速,2004-03-10,2200-01-01,STOCK,,,,2004-03-10,2200-01-01
368,S.CN.SSE.600036,600036,招商银行,2002-04-09,2200-01-01,STOCK,,,,2002-04-09,2200-01-01
369,S.CN.SSE.600037,600037,歌华有线,2001-02-08,2200-01-01,STOCK,,,,2001-02-08,2200-01-01
370,S.CN.SSE.600038,600038,中直股份,2000-12-18,2200-01-01,STOCK,,,,2000-12-18,2200-01-01
371,S.CN.SSE.600039,600039,四川路桥,2003-03-25,2200-01-01,STOCK,,,,2003-03-25,2200-01-01
372,S.CN.SSE.600048,600048,保利发展,2006-07-31,2200-01-01,STOCK,,,,2006-07-31,2200-01-01
373,S.CN.SSE.600050,600050,中国联通,2002-10-09,2200-01-01,STOCK,,,,2002-10-09,2200-01-01
374,S.CN.SSE.600051,600051,宁波联合,1997-04-10,2200-01-01,STOCK,,,,1997-04-10,2200-01-01
375,S.CN.SSE.600052,600052,东望时代,1997-04-15,2200-01-01,STOCK,,,,1997-04-15,2200-01-01
376,S.CN.SSE.600053,600053,九鼎投资,1997-04-18,2200-01-01,STOCK,,,,1997-04-18,2200-01-01
377,S.CN.SSE.600054,600054,黄山旅游,1997-05-06,2200-01-01,STOCK,,,,1997-05-06,2200-01-01
378,S.CN.SSE.600055,600055,万东医疗,1997-05-19,2200-01-01,STOCK,,,,1997-05-19,2200-01-01
379,S.CN.SSE.600056,600056,中国医药,1997-05-15,2200-01-01,STOCK,,,,1997-05-15,2200-01-01
380,S.CN.SSE.600057,600057,厦门象屿,1997-06-04,2200-01-01,STOCK,,,,1997-06-04,2200-01-01
381,S.CN.SSE.600058,600058,五矿发展,1997-05-28,2200-01-01,STOCK,,,,1997-05-28,2200-01-01
382,S.CN.SSE.600059,600059,古越龙山,1997-05-16,2200-01-01,STOCK,,,,1997-05-16,2200-01-01
383,S.CN.SSE.600060,600060,海信视像,1997-04-22,2200-01-01,STOCK,,,,1997-04-22,2200-01-01
384,S.CN.SSE.600061,600061,国投资本,1997-05-19,2200-01-01,STOCK,,,,1997-05-19,2200-01-01
385,S.CN.SSE.600062,600062,华润双鹤,1997-05-22,2200-01-01,STOCK,,,,1997-05-22,2200-01-01
386,S.CN.SSE.600063,600063,皖维高新,1997-05-28,2200-01-01,STOCK,,,,1997-05-28,2200-01-01
387,S.CN.SSE.600064,600064,南京高科,1997-05-06,2200-01-01,STOCK,,,,1997-05-06,2200-01-01
389,S.CN.SSE.600066,600066,宇通客车,1997-05-08,2200-01-01,STOCK,,,,1997-05-08,2200-01-01
390,S.CN.SSE.600067,600067,冠城大通,1997-05-08,2200-01-01,STOCK,,,,1997-05-08,2200-01-01
391,S.CN.SSE.600068,600068,葛洲坝,1997-05-26,2021-09-13,STOCK,,,,1997-05-26,2021-09-13
392,S.CN.SSE.600069,600069,退市银鸽,1997-04-30,2020-08-27,STOCK,,,,1997-04-30,2020-08-27
393,S.CN.SSE.600070,600070,浙江富润,1997-06-04,2200-01-01,STOCK,,,,1997-06-04,2200-01-01
394,S.CN.SSE.600071,600071,凤凰光学,1997-05-28,2200-01-01,STOCK,,,,1997-05-28,2200-01-01
395,S.CN.SSE.600072,600072,中船科技,1997-06-03,2200-01-01,STOCK,,,,1997-06-03,2200-01-01
396,S.CN.SSE.600073,600073,上海梅林,1997-07-04,2200-01-01,STOCK,,,,1997-07-04,2200-01-01
397,S.CN.SSE.600074,600074,退市保千,1997-06-23,2020-06-02,STOCK,,,,1997-06-23,2020-06-02
398,S.CN.SSE.600075,600075,新疆天业,1997-06-17,2200-01-01,STOCK,,,,1997-06-17,2200-01-01
399,S.CN.SSE.600076,600076,康欣新材,1997-05-26,2200-01-01,STOCK,,,,1997-05-26,2200-01-01
400,S.CN.SSE.600077,600077,宋都股份,1997-05-20,2200-01-01,STOCK,,,,1997-05-20,2200-01-01
402,S.CN.SSE.600079,600079,人福医药,1997-06-06,2200-01-01,STOCK,,,,1997-06-06,2200-01-01
403,S.CN.SSE.600080,600080,金花股份,1997-06-12,2200-01-01,STOCK,,,,1997-06-12,2200-01-01
404,S.CN.SSE.600081,600081,东风科技,1997-07-03,2200-01-01,STOCK,,,,1997-07-03,2200-01-01
405,S.CN.SSE.600082,600082,海泰发展,1997-06-20,2200-01-01,STOCK,,,,1997-06-20,2200-01-01
408,S.CN.SSE.600085,600085,同仁堂,1997-06-25,2200-01-01,STOCK,,,,1997-06-25,2200-01-01
409,S.CN.SSE.600086,600086,退市金钰,1997-06-06,2021-03-18,STOCK,,,,1997-06-06,2021-03-18
410,S.CN.SSE.600087,600087,退市长油,1997-06-12,2014-06-05,STOCK,,,,1997-06-12,2014-06-05
411,S.CN.SSE.600088,600088,中视传媒,1997-06-16,2200-01-01,STOCK,,,,1997-06-16,2200-01-01
412,S.CN.SSE.600089,600089,特变电工,1997-06-18,2200-01-01,STOCK,,,,1997-06-18,2200-01-01
417,S.CN.SSE.600094,600094,大名城,1997-07-03,2200-01-01,STOCK,,,,1997-07-03,2200-01-01
418,S.CN.SSE.600095,600095,湘财股份,1997-07-08,2200-01-01,STOCK,,,,1997-07-08,2200-01-01
419,S.CN.SSE.600096,600096,云天化,1997-07-09,2200-01-01,STOCK,,,,1997-07-09,2200-01-01
420,S.CN.SSE.600097,600097,开创国际,1997-06-19,2200-01-01,STOCK,,,,1997-06-19,2200-01-01
421,S.CN.SSE.600098,600098,广州发展,1997-07-18,2200-01-01,STOCK,,,,1997-07-18,2200-01-01
422,S.CN.SSE.600099,600099,林海股份,1997-07-04,2200-01-01,STOCK,,,,1997-07-04,2200-01-01
423,S.CN.SSE.600100,600100,同方股份,1997-06-27,2200-01-01,STOCK,,,,1997-06-27,2200-01-01
424,S.CN.SSE.600101,600101,明星电力,1997-06-27,2200-01-01,STOCK,,,,1997-06-27,2200-01-01
425,S.CN.SSE.600102,600102,莱钢股份,1997-08-28,2012-02-28,STOCK,,,,1997-08-28,2012-02-28
426,S.CN.SSE.600103,600103,青山纸业,1997-07-03,2200-01-01,STOCK,,,,1997-07-03,2200-01-01
427,S.CN.SSE.600104,600104,上汽集团,1997-11-25,2200-01-01,STOCK,,,,1997-11-25,2200-01-01
428,S.CN.SSE.600105,600105,永鼎股份,1997-09-29,2200-01-01,STOCK,,,,1997-09-29,2200-01-01
429,S.CN.SSE.600106,600106,重庆路桥,1997-06-18,2200-01-01,STOCK,,,,1997-06-18,2200-01-01
430,S.CN.SSE.600107,600107,美尔雅,1997-11-06,2200-01-01,STOCK,,,,1997-11-06,2200-01-01
431,S.CN.SSE.600108,600108,亚盛集团,1997-08-18,2200-01-01,STOCK,,,,1997-08-18,2200-01-01
432,S.CN.SSE.600109,600109,国金证券,1997-08-07,2200-01-01,STOCK,,,,1997-08-07,2200-01-01
433,S.CN.SSE.600110,600110,诺德股份,1997-10-07,2200-01-01,STOCK,,,,1997-10-07,2200-01-01
434,S.CN.SSE.600111,600111,北方稀土,1997-09-24,2200-01-01,STOCK,,,,1997-09-24,2200-01-01
436,S.CN.SSE.600113,600113,浙江东日,1997-10-21,2200-01-01,STOCK,,,,1997-10-21,2200-01-01
437,S.CN.SSE.600114,600114,东睦股份,2004-05-11,2200-01-01,STOCK,,,,2004-05-11,2200-01-01
438,S.CN.SSE.600115,600115,中国东航,1997-11-05,2200-01-01,STOCK,,,,1997-11-05,2200-01-01
439,S.CN.SSE.600116,600116,三峡水利,1997-08-04,2200-01-01,STOCK,,,,1997-08-04,2200-01-01
440,S.CN.SSE.600117,600117,西宁特钢,1997-10-15,2200-01-01,STOCK,,,,1997-10-15,2200-01-01
441,S.CN.SSE.600118,600118,中国卫星,1997-09-08,2200-01-01,STOCK,,,,1997-09-08,2200-01-01
442,S.CN.SSE.600119,600119,长江投资,1998-01-15,2200-01-01,STOCK,,,,1998-01-15,2200-01-01
443,S.CN.SSE.600120,600120,浙江东方,1997-12-01,2200-01-01,STOCK,,,,1997-12-01,2200-01-01
444,S.CN.SSE.600121,600121,郑州煤电,1998-01-07,2200-01-01,STOCK,,,,1998-01-07,2200-01-01
446,S.CN.SSE.600123,600123,兰花科创,1998-12-17,2200-01-01,STOCK,,,,1998-12-17,2200-01-01
447,S.CN.SSE.600125,600125,铁龙物流,1998-05-11,2200-01-01,STOCK,,,,1998-05-11,2200-01-01
448,S.CN.SSE.600126,600126,杭钢股份,1998-03-11,2200-01-01,STOCK,,,,1998-03-11,2200-01-01
449,S.CN.SSE.600127,600127,金健米业,1998-05-06,2200-01-01,STOCK,,,,1998-05-06,2200-01-01
450,S.CN.SSE.600128,600128,弘业股份,1997-09-01,2200-01-01,STOCK,,,,1997-09-01,2200-01-01
451,S.CN.SSE.600129,600129,太极集团,1997-11-18,2200-01-01,STOCK,,,,1997-11-18,2200-01-01
452,S.CN.SSE.600130,600130,波导股份,2000-07-06,2200-01-01,STOCK,,,,2000-07-06,2200-01-01
453,S.CN.SSE.600131,600131,国网信通,1998-04-02,2200-01-01,STOCK,,,,1998-04-02,2200-01-01
454,S.CN.SSE.600132,600132,重庆啤酒,1997-10-30,2200-01-01,STOCK,,,,1997-10-30,2200-01-01
455,S.CN.SSE.600133,600133,东湖高新,1998-02-12,2200-01-01,STOCK,,,,1998-02-12,2200-01-01
456,S.CN.SSE.600135,600135,乐凯胶片,1998-01-22,2200-01-01,STOCK,,,,1998-01-22,2200-01-01
457,S.CN.SSE.600136,600136,当代文体,1998-03-03,2200-01-01,STOCK,,,,1998-03-03,2200-01-01
458,S.CN.SSE.600137,600137,浪莎股份,1998-04-16,2200-01-01,STOCK,,,,1998-04-16,2200-01-01
459,S.CN.SSE.600138,600138,中青旅,1997-12-03,2200-01-01,STOCK,,,,1997-12-03,2200-01-01
461,S.CN.SSE.600141,600141,兴发集团,1999-06-16,2200-01-01,STOCK,,,,1999-06-16,2200-01-01
462,S.CN.SSE.600143,600143,金发科技,2004-06-23,2200-01-01,STOCK,,,,2004-06-23,2200-01-01
463,S.CN.SSE.600145,600145,退市新亿,1999-09-23,2200-01-01,STOCK,,,,1999-09-23,2200-01-01
465,S.CN.SSE.600148,600148,长春一东,1998-05-20,2200-01-01,STOCK,,,,1998-05-20,2200-01-01
466,S.CN.SSE.600149,600149,廊坊发展,1999-10-14,2200-01-01,STOCK,,,,1999-10-14,2200-01-01
467,S.CN.SSE.600150,600150,中国船舶,1998-05-20,2200-01-01,STOCK,,,,1998-05-20,2200-01-01
468,S.CN.SSE.600151,600151,航天机电,1998-06-05,2200-01-01,STOCK,,,,1998-06-05,2200-01-01
469,S.CN.SSE.600152,600152,维科技术,1998-06-09,2200-01-01,STOCK,,,,1998-06-09,2200-01-01
470,S.CN.SSE.600153,600153,建发股份,1998-06-16,2200-01-01,STOCK,,,,1998-06-16,2200-01-01
471,S.CN.SSE.600155,600155,华创阳安,1998-09-18,2200-01-01,STOCK,,,,1998-09-18,2200-01-01
472,S.CN.SSE.600156,600156,华升股份,1998-05-27,2200-01-01,STOCK,,,,1998-05-27,2200-01-01
473,S.CN.SSE.600157,600157,永泰能源,1998-05-13,2200-01-01,STOCK,,,,1998-05-13,2200-01-01
474,S.CN.SSE.600158,600158,中体产业,1998-03-27,2200-01-01,STOCK,,,,1998-03-27,2200-01-01
475,S.CN.SSE.600159,600159,大龙地产,1998-05-26,2200-01-01,STOCK,,,,1998-05-26,2200-01-01
476,S.CN.SSE.600160,600160,巨化股份,1998-06-26,2200-01-01,STOCK,,,,1998-06-26,2200-01-01
477,S.CN.SSE.600161,600161,天坛生物,1998-06-16,2200-01-01,STOCK,,,,1998-06-16,2200-01-01
478,S.CN.SSE.600162,600162,香江控股,1998-06-09,2200-01-01,STOCK,,,,1998-06-09,2200-01-01
479,S.CN.SSE.600163,600163,中闽能源,1998-06-02,2200-01-01,STOCK,,,,1998-06-02,2200-01-01
480,S.CN.SSE.600165,600165,新日恒力,1998-05-29,2200-01-01,STOCK,,,,1998-05-29,2200-01-01
481,S.CN.SSE.600166,600166,福田汽车,1998-06-02,2200-01-01,STOCK,,,,1998-06-02,2200-01-01
482,S.CN.SSE.600167,600167,联美控股,1999-01-28,2200-01-01,STOCK,,,,1999-01-28,2200-01-01
483,S.CN.SSE.600168,600168,武汉控股,1998-04-27,2200-01-01,STOCK,,,,1998-04-27,2200-01-01
484,S.CN.SSE.600169,600169,太原重工,1998-09-04,2200-01-01,STOCK,,,,1998-09-04,2200-01-01
485,S.CN.SSE.600170,600170,上海建工,1998-06-23,2200-01-01,STOCK,,,,1998-06-23,2200-01-01
486,S.CN.SSE.600171,600171,上海贝岭,1998-09-24,2200-01-01,STOCK,,,,1998-09-24,2200-01-01
487,S.CN.SSE.600172,600172,黄河旋风,1998-11-26,2200-01-01,STOCK,,,,1998-11-26,2200-01-01
488,S.CN.SSE.600173,600173,卧龙地产,1999-04-15,2200-01-01,STOCK,,,,1999-04-15,2200-01-01
489,S.CN.SSE.600175,600175,退市美都,1999-04-08,2020-08-14,STOCK,,,,1999-04-08,2020-08-14
490,S.CN.SSE.600176,600176,中国巨石,1999-04-22,2200-01-01,STOCK,,,,1999-04-22,2200-01-01
491,S.CN.SSE.600177,600177,雅戈尔,1998-11-19,2200-01-01,STOCK,,,,1998-11-19,2200-01-01
492,S.CN.SSE.600178,600178,东安动力,1998-10-14,2200-01-01,STOCK,,,,1998-10-14,2200-01-01
493,S.CN.SSE.600179,600179,安通控股,1998-11-04,2200-01-01,STOCK,,,,1998-11-04,2200-01-01
494,S.CN.SSE.600180,600180,瑞茂通,1998-07-03,2200-01-01,STOCK,,,,1998-07-03,2200-01-01
497,S.CN.SSE.600183,600183,生益科技,1998-10-28,2200-01-01,STOCK,,,,1998-10-28,2200-01-01
498,S.CN.SSE.600184,600184,光电股份,2003-11-06,2200-01-01,STOCK,,,,2003-11-06,2200-01-01
499,S.CN.SSE.600185,600185,格力地产,1999-06-11,2200-01-01,STOCK,,,,1999-06-11,2200-01-01
500,S.CN.SSE.600186,600186,莲花健康,1998-08-25,2200-01-01,STOCK,,,,1998-08-25,2200-01-01
501,S.CN.SSE.600187,600187,国中水务,1998-11-11,2200-01-01,STOCK,,,,1998-11-11,2200-01-01
502,S.CN.SSE.600188,600188,兖矿能源,1998-07-01,2200-01-01,STOCK,,,,1998-07-01,2200-01-01
503,S.CN.SSE.600189,600189,泉阳泉,1998-10-07,2200-01-01,STOCK,,,,1998-10-07,2200-01-01
504,S.CN.SSE.600190,600190,锦州港,1999-06-09,2200-01-01,STOCK,,,,1999-06-09,2200-01-01
506,S.CN.SSE.600192,600192,长城电工,1998-12-24,2200-01-01,STOCK,,,,1998-12-24,2200-01-01
507,S.CN.SSE.600193,600193,创兴资源,1999-05-27,2200-01-01,STOCK,,,,1999-05-27,2200-01-01
508,S.CN.SSE.600195,600195,中牧股份,1999-01-07,2200-01-01,STOCK,,,,1999-01-07,2200-01-01
509,S.CN.SSE.600196,600196,复星医药,1998-08-07,2200-01-01,STOCK,,,,1998-08-07,2200-01-01
510,S.CN.SSE.600197,600197,伊力特,1999-09-16,2200-01-01,STOCK,,,,1999-09-16,2200-01-01
511,S.CN.SSE.600198,600198,大唐电信,1998-10-21,2200-01-01,STOCK,,,,1998-10-21,2200-01-01
512,S.CN.SSE.600199,600199,金种子酒,1998-08-12,2200-01-01,STOCK,,,,1998-08-12,2200-01-01
513,S.CN.SSE.600200,600200,江苏吴中,1999-04-01,2200-01-01,STOCK,,,,1999-04-01,2200-01-01
514,S.CN.SSE.600201,600201,生物股份,1999-01-15,2200-01-01,STOCK,,,,1999-01-15,2200-01-01
515,S.CN.SSE.600202,600202,哈空调,1999-06-03,2200-01-01,STOCK,,,,1999-06-03,2200-01-01
516,S.CN.SSE.600203,600203,福日电子,1999-05-14,2200-01-01,STOCK,,,,1999-05-14,2200-01-01
517,S.CN.SSE.600205,600205,S山东铝,1999-06-30,2007-04-30,STOCK,,,,1999-06-30,2007-04-30
518,S.CN.SSE.600206,600206,有研新材,1999-03-19,2200-01-01,STOCK,,,,1999-03-19,2200-01-01
519,S.CN.SSE.600207,600207,安彩高科,1999-07-14,2200-01-01,STOCK,,,,1999-07-14,2200-01-01
520,S.CN.SSE.600208,600208,新湖中宝,1999-06-23,2200-01-01,STOCK,,,,1999-06-23,2200-01-01
522,S.CN.SSE.600210,600210,紫江企业,1999-08-24,2200-01-01,STOCK,,,,1999-08-24,2200-01-01
523,S.CN.SSE.600211,600211,西藏药业,1999-07-21,2200-01-01,STOCK,,,,1999-07-21,2200-01-01
524,S.CN.SSE.600212,600212,江泉实业,1999-08-17,2200-01-01,STOCK,,,,1999-08-17,2200-01-01
525,S.CN.SSE.600213,600213,亚星客车,1999-08-31,2200-01-01,STOCK,,,,1999-08-31,2200-01-01
526,S.CN.SSE.600215,600215,派斯林,1999-09-09,2200-01-01,STOCK,,,,1999-09-09,2200-01-01
527,S.CN.SSE.600216,600216,浙江医药,1999-10-21,2200-01-01,STOCK,,,,1999-10-21,2200-01-01
528,S.CN.SSE.600217,600217,中再资环,1999-12-16,2200-01-01,STOCK,,,,1999-12-16,2200-01-01
529,S.CN.SSE.600218,600218,全柴动力,1998-12-03,2200-01-01,STOCK,,,,1998-12-03,2200-01-01
530,S.CN.SSE.600219,600219,南山铝业,1999-12-23,2200-01-01,STOCK,,,,1999-12-23,2200-01-01
531,S.CN.SSE.600220,600220,江苏阳光,1999-09-27,2200-01-01,STOCK,,,,1999-09-27,2200-01-01
533,S.CN.SSE.600222,600222,太龙药业,1999-11-05,2200-01-01,STOCK,,,,1999-11-05,2200-01-01
534,S.CN.SSE.600223,600223,鲁商发展,2000-01-13,2200-01-01,STOCK,,,,2000-01-13,2200-01-01
537,S.CN.SSE.600227,600227,圣济堂,2000-02-21,2200-01-01,STOCK,,,,2000-02-21,2200-01-01
538,S.CN.SSE.600228,600228,返利科技,1999-01-19,2200-01-01,STOCK,,,,1999-01-19,2200-01-01
539,S.CN.SSE.600229,600229,城市传媒,2000-03-09,2200-01-01,STOCK,,,,2000-03-09,2200-01-01
540,S.CN.SSE.600230,600230,沧州大化,2000-04-06,2200-01-01,STOCK,,,,2000-04-06,2200-01-01
541,S.CN.SSE.600231,600231,凌钢股份,2000-05-11,2200-01-01,STOCK,,,,2000-05-11,2200-01-01
542,S.CN.SSE.600232,600232,金鹰股份,2000-06-02,2200-01-01,STOCK,,,,2000-06-02,2200-01-01
543,S.CN.SSE.600233,600233,圆通速递,2000-06-08,2200-01-01,STOCK,,,,2000-06-08,2200-01-01
544,S.CN.SSE.600234,600234,科新发展,2000-06-15,2200-01-01,STOCK,,,,2000-06-15,2200-01-01
545,S.CN.SSE.600235,600235,民丰特纸,2000-06-15,2200-01-01,STOCK,,,,2000-06-15,2200-01-01
546,S.CN.SSE.600236,600236,桂冠电力,2000-03-23,2200-01-01,STOCK,,,,2000-03-23,2200-01-01
547,S.CN.SSE.600237,600237,铜峰电子,2000-06-09,2200-01-01,STOCK,,,,2000-06-09,2200-01-01
548,S.CN.SSE.600238,600238,海南椰岛,2000-01-20,2200-01-01,STOCK,,,,2000-01-20,2200-01-01
550,S.CN.SSE.600240,600240,退市华业,2000-06-28,2020-02-05,STOCK,,,,2000-06-28,2020-02-05
553,S.CN.SSE.600243,600243,青海华鼎,2000-11-20,2200-01-01,STOCK,,,,2000-11-20,2200-01-01
554,S.CN.SSE.600246,600246,万通发展,2000-09-22,2200-01-01,STOCK,,,,2000-09-22,2200-01-01
556,S.CN.SSE.600248,600248,陕西建工,2000-06-22,2200-01-01,STOCK,,,,2000-06-22,2200-01-01
557,S.CN.SSE.600249,600249,两面针,2004-01-30,2200-01-01,STOCK,,,,2004-01-30,2200-01-01
558,S.CN.SSE.600250,600250,南纺股份,2001-03-06,2200-01-01,STOCK,,,,2001-03-06,2200-01-01
559,S.CN.SSE.600251,600251,冠农股份,2003-06-09,2200-01-01,STOCK,,,,2003-06-09,2200-01-01
560,S.CN.SSE.600252,600252,中恒集团,2000-11-30,2200-01-01,STOCK,,,,2000-11-30,2200-01-01
561,S.CN.SSE.600253,600253,天方药业,2000-12-27,2013-07-15,STOCK,,,,2000-12-27,2013-07-15
562,S.CN.SSE.600255,600255,鑫科材料,2000-11-22,2200-01-01,STOCK,,,,2000-11-22,2200-01-01
563,S.CN.SSE.600256,600256,广汇能源,2000-05-26,2200-01-01,STOCK,,,,2000-05-26,2200-01-01
564,S.CN.SSE.600257,600257,大湖股份,2000-06-12,2200-01-01,STOCK,,,,2000-06-12,2200-01-01
565,S.CN.SSE.600258,600258,首旅酒店,2000-06-01,2200-01-01,STOCK,,,,2000-06-01,2200-01-01
566,S.CN.SSE.600259,600259,广晟有色,2000-05-25,2200-01-01,STOCK,,,,2000-05-25,2200-01-01
568,S.CN.SSE.600261,600261,阳光照明,2000-07-20,2200-01-01,STOCK,,,,2000-07-20,2200-01-01
569,S.CN.SSE.600262,600262,北方股份,2000-06-30,2200-01-01,STOCK,,,,2000-06-30,2200-01-01
570,S.CN.SSE.600263,600263,路桥建设,2000-07-25,2012-03-01,STOCK,,,,2000-07-25,2012-03-01
572,S.CN.SSE.600266,600266,城建发展,1999-02-03,2200-01-01,STOCK,,,,1999-02-03,2200-01-01
573,S.CN.SSE.600267,600267,海正药业,2000-07-25,2200-01-01,STOCK,,,,2000-07-25,2200-01-01
574,S.CN.SSE.600268,600268,国电南自,1999-11-18,2200-01-01,STOCK,,,,1999-11-18,2200-01-01
575,S.CN.SSE.600269,600269,赣粤高速,2000-05-18,2200-01-01,STOCK,,,,2000-05-18,2200-01-01
576,S.CN.SSE.600270,600270,外运发展,2000-12-28,2018-12-28,STOCK,,,,2000-12-28,2018-12-28
577,S.CN.SSE.600271,600271,航天信息,2003-07-11,2200-01-01,STOCK,,,,2003-07-11,2200-01-01
578,S.CN.SSE.600272,600272,开开实业,2001-02-28,2200-01-01,STOCK,,,,2001-02-28,2200-01-01
579,S.CN.SSE.600273,600273,嘉化能源,2003-06-27,2200-01-01,STOCK,,,,2003-06-27,2200-01-01
581,S.CN.SSE.600276,600276,恒瑞医药,2000-10-18,2200-01-01,STOCK,,,,2000-10-18,2200-01-01
582,S.CN.SSE.600277,600277,亿利洁能,2000-07-25,2200-01-01,STOCK,,,,2000-07-25,2200-01-01
583,S.CN.SSE.600278,600278,东方创业,2000-07-12,2200-01-01,STOCK,,,,2000-07-12,2200-01-01
584,S.CN.SSE.600279,600279,重庆港,2000-07-31,2200-01-01,STOCK,,,,2000-07-31,2200-01-01
585,S.CN.SSE.600280,600280,中央商场,2000-09-26,2200-01-01,STOCK,,,,2000-09-26,2200-01-01
586,S.CN.SSE.600281,600281,华阳新材,2000-11-09,2200-01-01,STOCK,,,,2000-11-09,2200-01-01
587,S.CN.SSE.600282,600282,南钢股份,2000-09-19,2200-01-01,STOCK,,,,2000-09-19,2200-01-01
588,S.CN.SSE.600283,600283,钱江水利,2000-10-18,2200-01-01,STOCK,,,,2000-10-18,2200-01-01
589,S.CN.SSE.600284,600284,浦东建设,2004-03-16,2200-01-01,STOCK,,,,2004-03-16,2200-01-01
590,S.CN.SSE.600285,600285,羚锐制药,2000-10-18,2200-01-01,STOCK,,,,2000-10-18,2200-01-01
592,S.CN.SSE.600287,600287,江苏舜天,2000-09-01,2200-01-01,STOCK,,,,2000-09-01,2200-01-01
593,S.CN.SSE.600288,600288,大恒科技,2000-11-29,2200-01-01,STOCK,,,,2000-11-29,2200-01-01
597,S.CN.SSE.600292,600292,远达环保,2000-11-01,2200-01-01,STOCK,,,,2000-11-01,2200-01-01
598,S.CN.SSE.600293,600293,三峡新材,2000-09-19,2200-01-01,STOCK,,,,2000-09-19,2200-01-01
599,S.CN.SSE.600295,600295,鄂尔多斯,2001-04-26,2200-01-01,STOCK,,,,2001-04-26,2200-01-01
600,S.CN.SSE.600296,600296,S兰铝,2000-07-19,2007-04-30,STOCK,,,,2000-07-19,2007-04-30
601,S.CN.SSE.600297,600297,广汇汽车,2000-11-16,2200-01-01,STOCK,,,,2000-11-16,2200-01-01
602,S.CN.SSE.600298,600298,安琪酵母,2000-08-18,2200-01-01,STOCK,,,,2000-08-18,2200-01-01
603,S.CN.SSE.600299,600299,安迪苏,2000-04-20,2200-01-01,STOCK,,,,2000-04-20,2200-01-01
